Filename,DataType,Size,Algorithm,TimeSecondsMean,TimeSecondsStd,ComparisonsMean,ComparisonsStd,MemoryBytesMean,MemoryBytesStd
a500000.txt,Random,500000,MergeSort,0.0810778,0.0004764999475340972,8836942.0,0.0,37902848.0,0.0
a500000.txt,Random,500000,QuickSort,0.10017879999999998,0.00013445147823657423,33495791.0,0.0,0.0,0.0
a7500.txt,Random,7500,HeapSort,0.0011662,1.0256705123966512e-05,170107.0,0.0,0.0,0.0
a7500.txt,Random,7500,MergeSort,0.0009838,8.438009243891527e-06,87105.0,0.0,387232.0,0.0
a7500.txt,Random,7500,QuickSort,0.0007606,1.1013627921806678e-05,113004.0,0.0,0.0,0.0
a75000.txt,Random,75000,HeapSort,0.015040600000000001,6.809038111216572e-05,2200094.0,0.0,0.0,0.0
a75000.txt,Random,75000,MergeSort,0.01133,9.100824138505294e-05,1121199.0,0.0,4875712.0,0.0
a75000.txt,Random,75000,QuickSort,0.0090732,3.356635219978452e-05,1758426.0,0.0,0.0,0.0
a750000.txt,Random,750000,HeapSort,0.18878140000000002,0.0020374798894712835,27007214.0,0.0,0.0,0.0
a750000.txt,Random,750000,MergeSort,0.1250128,0.0008909229484079968,13705118.0,0.0,58805696.0,0.0
a750000.txt,Random,750000,QuickSort,0.188368,0.006898053421074666,68649182.0,0.0,0.0,0.0
d100.txt,Descending,100,HeapSort,8.2e-06,4.472135954999583e-07,944.0,0.0,0.0,0.0
d100.txt,Descending,100,MergeSort,8e-06,0.0,316.0,0.0,2688.0,0.0
d100.txt,Descending,100,QuickSort,5.600000000000001e-06,5.477225575051662e-07,514.0,0.0,0.0,0.0
d1000.txt,Descending,1000,HeapSort,0.0001038,1.9235384061671336e-06,15975.0,0.0,0.0,0.0
d1000.txt,Descending,1000,MergeSort,6.96e-05,8.944271909999132e-07,4988.0,0.0,39904.0,0.0
d1000.txt,Descending,1000,QuickSort,5.04e-05,8.944271909999197e-07,8465.0,0.0,0.0,0.0
d10000.txt,Descending,10000,HeapSort,0.0012674,8.018728078691936e-06,226646.0,0.0,0.0,0.0
d10000.txt,Descending,10000,MergeSort,0.0008796,4.944997472193485e-05,69247.0,0.0,534464.0,0.0
d10000.txt,Descending,10000,QuickSort,0.0005986,9.235799911215049e-06,120846.0,0.0,0.0,0.0
d100000.txt,Descending,100000,HeapSort,0.015257399999999999,2.1454603235668928e-05,2921127.0,0.0,0.0,0.0
d100000.txt,Descending,100000,MergeSort,0.009515599999999999,5.288950746603723e-05,930854.0,0.0,6675712.0,0.0
d100000.txt,Descending,100000,QuickSort,0.00711,2.2113344387496117e-05,2204441.0,0.0,0.0,0.0
d1000000.txt,Descending,1000000,HeapSort,0.1895928,0.009517281686490096,35872727.0,0.0,0.0,0.0
