Filename,DataType,Size,Algorithm,TimeSeconds,Comparisons,MemoryBytes
a100.txt,Random,100,QuickSort,0.000007,605,0
a100.txt,Random,100,MergeSort,0.000015,537,2688
a100.txt,Random,100,HeapSort,0.000010,1029,0
a1000.txt,Random,1000,QuickSort,0.000081,10703,0
a1000.txt,Random,1000,MergeSort,0.000121,8704,39904
a1000.txt,Random,1000,HeapSort,0.000128,16869,0
a10000.txt,Random,10000,QuickSort,0.001049,157488,0
a10000.txt,Random,10000,MergeSort,0.001343,120517,534464
a10000.txt,Random,10000,HeapSort,0.001631,235408,0
a100000.txt,Random,100000,QuickSort,0.012346,2590245,0
a100000.txt,Random,100000,MergeSort,0.015889,1536637,6675712
a100000.txt,Random,100000,HeapSort,0.021572,3019775,0
a1000000.txt,Random,1000000,QuickSort,0.299127,117813690,0
a1000000.txt,Random,1000000,MergeSort,0.172797,18673359,79805696
a1000000.txt,Random,1000000,HeapSort,0.282031,36790297,0
a1250000.txt,Random,1250000,QuickSort,0.432239,176638182,0
a1250000.txt,Random,1250000,MergeSort,0.238012,23761046,101611392
a1250000.txt,Random,1250000,HeapSort,0.328643,46825882,0
a15000.txt,Random,15000,QuickSort,0.001602,238475,0
a15000.txt,Random,15000,MergeSort,0.002061,189287,834464
a15000.txt,Random,15000,HeapSort,0.002561,370381,0
a1500000.txt,Random,1500000,QuickSort,0.591167,251399528,0
a1500000.txt,Random,1500000,MergeSort,0.256776,28910017,123611392
a1500000.txt,Random,1500000,HeapSort,0.403274,57011806,0
a200.txt,Random,200,QuickSort,0.000014,1438,0
a200.txt,Random,200,MergeSort,0.000022,1283,6176
a200.txt,Random,200,HeapSort,0.000021,2436,0
a2000.txt,Random,2000,QuickSort,0.000183,27018,0
a2000.txt,Random,2000,MergeSort,0.000234,19389,87808
a2000.txt,Random,2000,HeapSort,0.000272,37667,0
a200000.txt,Random,200000,QuickSort,0.030870,7814224,0
a200000.txt,Random,200000,MergeSort,0.032455,3272647,14151424
a200000.txt,Random,200000,HeapSort,0.044448,6437906,0
a2000000.txt,Random,2000000,QuickSort,1.000568,433012087,0
a2000000.txt,Random,2000000,MergeSort,0.344016,39347196,167611392
