Filename,DataType,Size,Algorithm,TimeSeconds,Comparisons,MemoryBytes
a100.txt,Random,100,QuickSort,0.000011,605,0
a100.txt,Random,100,MergeSort,0.000023,537,2688
a100.txt,Random,100,HeapSort,0.000012,1029,0
a1000.txt,Random,1000,QuickSort,0.000081,10703,0
a1000.txt,Random,1000,MergeSort,0.000114,8704,39904
a1000.txt,Random,1000,HeapSort,0.000125,16869,0
a10000.txt,Random,10000,QuickSort,0.001038,157488,0
a10000.txt,Random,10000,MergeSort,0.001335,120517,534464
a10000.txt,Random,10000,HeapSort,0.001599,235408,0
a100000.txt,Random,100000,QuickSort,0.012280,2590245,0
a100000.txt,Random,100000,MergeSort,0.015374,1536637,6675712
a100000.txt,Random,100000,HeapSort,0.020835,3019775,0
a1000000.txt,Random,1000000,QuickSort,0.302571,117813690,0
a1000000.txt,Random,1000000,MergeSort,0.168288,18673359,79805696
a1000000.txt,Random,1000000,HeapSort,0.261977,36790297,0
a1250000.txt,Random,1250000,QuickSort,0.430786,176638182,0
a1250000.txt,Random,1250000,MergeSort,0.212287,23761046,101611392
a1250000.txt,Random,1250000,HeapSort,0.354725,46825882,0
a15000.txt,Random,15000,QuickSort,0.001591,238475,0
a15000.txt,Random,15000,MergeSort,0.002077,189287,834464
a15000.txt,Random,15000,HeapSort,0.002534,370381,0
a1500000.txt,Random,1500000,QuickSort,0.593410,251399528,0
a1500000.txt,Random,1500000,MergeSort,0.254254,28910017,123611392
a1500000.txt,Random,1500000,HeapSort,0.402375,57011806,0
a200.txt,Random,200,QuickSort,0.000014,1438,0
a200.txt,Random,200,MergeSort,0.000021,1283,6176
a200.txt,Random,200,HeapSort,0.000021,2436,0
a2000.txt,Random,2000,QuickSort,0.000178,27018,0
a2000.txt,Random,2000,MergeSort,0.000231,19389,87808
a2000.txt,Random,2000,HeapSort,0.000278,37667,0
a200000.txt,Random,200000,QuickSort,0.031639,7814224,0
a200000.txt,Random,200000,MergeSort,0.031386,3272647,14151424
a200000.txt,Random,200000,HeapSort,0.044041,6437906,0
a2000000.txt,Random,2000000,QuickSort,1.025226,433012087,0
a2000000.txt,Random,2000000,MergeSort,0.341547,39347196,167611392
a2000000.txt,Random,2000000,HeapSort,0.555971,77580974,0
a30000.txt,Random,30000,QuickSort,0.003403,557316,0
a30000.txt,Random,30000,MergeSort,0.004299,408671,1788928
a30000.txt,Random,30000,HeapSort,0.005535,800988,0
a500.txt,Random,500,QuickSort,0.000038,4725,0
a500.txt,Random,500,MergeSort,0.000053,3842,17952
a500.txt,Random,500,HeapSort,0.000058,7405,0
a5000.txt,Random,5000,QuickSort,0.000493,70683,0
a5000.txt,Random,5000,MergeSort,0.000633,55252,247232
a5000.txt,Random,5000,HeapSort,0.000740,107727,0
a50000.txt,Random,50000,QuickSort,0.007081,1060546,0
a50000.txt,Random,50000,MergeSort,0.007354,717936,3137856
a50000.txt,Random,50000,HeapSort,0.009644,1409973,0
a500000.txt,Random,500000,QuickSort,0.100409,33495791,0
a500000.txt,Random,500000,MergeSort,0.080700,8836942,37902848
a500000.txt,Random,500000,HeapSort,0.121855,17395734,0
a7500.txt,Random,7500,QuickSort,0.000771,113004,0
a7500.txt,Random,7500,MergeSort,0.000960,87105,387232
a7500.txt,Random,7500,HeapSort,0.001171,170107,0
a75000.txt,Random,75000,QuickSort,0.009053,1758426,0
a75000.txt,Random,75000,MergeSort,0.011201,1121199,4875712
a75000.txt,Random,75000,HeapSort,0.015005,2200094,0
a750000.txt,Random,750000,QuickSort,0.184267,68649182,0
a750000.txt,Random,750000,MergeSort,0.124259,13705118,58805696
a750000.txt,Random,750000,HeapSort,0.188435,27007214,0
d100.txt,Descending,100,QuickSort,0.000006,514,0
d100.txt,Descending,100,MergeSort,0.000008,316,2688
d100.txt,Descending,100,HeapSort,0.000008,944,0
d1000.txt,Descending,1000,QuickSort,0.000051,8465,0
d1000.txt,Descending,1000,MergeSort,0.000068,4988,39904
d1000.txt,Descending,1000,HeapSort,0.000105,15975,0
d10000.txt,Descending,10000,QuickSort,0.000609,120846,0
d10000.txt,Descending,10000,MergeSort,0.000836,69247,534464
d10000.txt,Descending,10000,HeapSort,0.001269,226646,0
d100000.txt,Descending,100000,QuickSort,0.007101,2204441,0
d100000.txt,Descending,100000,MergeSort,0.009513,930854,6675712
d100000.txt,Descending,100000,HeapSort,0.015276,2921127,0
d1000000.txt,Descending,1000000,QuickSort,0.240426,112924203,0
d1000000.txt,Descending,1000000,MergeSort,0.117421,11039862,79805696
d1000000.txt,Descending,1000000,HeapSort,0.184740,35872727,0
d1250000.txt,Descending,1250000,QuickSort,0.368207,172772456,0
d1250000.txt,Descending,1250000,MergeSort,0.136970,14167792,101611392
d1250000.txt,Descending,1250000,HeapSort,0.229446,45650895,0
d15000.txt,Descending,15000,QuickSort,0.000903,192712,0
d15000.txt,Descending,15000,MergeSort,0.001301,110050,834464
d15000.txt,Descending,15000,HeapSort,0.001970,357692,0
d1500000.txt,Descending,1500000,QuickSort,0.538888,245515500,0
d1500000.txt,Descending,1500000,MergeSort,0.166854,17252481,123611392
d1500000.txt,Descending,1500000,HeapSort,0.276516,55504837,0
d200.txt,Descending,200,QuickSort,0.000011,1225,0
d200.txt,Descending,200,MergeSort,0.000014,734,6176
d200.txt,Descending,200,HeapSort,0.000018,2275,0
d2000.txt,Descending,2000,QuickSort,0.000108,19004,0
d2000.txt,Descending,2000,MergeSort,0.000158,11041,87808
