Filename,DataType,Size,Algorithm,TimeSeconds,Comparisons,MemoryBytes
a100.txt,Random,100,QuickSort,0.000008,605,0
a100.txt,Random,100,MergeSort,0.000014,537,2688
a100.txt,Random,100,HeapSort,0.000011,1029,0
a1000.txt,Random,1000,QuickSort,0.000081,10703,0
a1000.txt,Random,1000,MergeSort,0.000117,8704,39904
a1000.txt,Random,1000,HeapSort,0.000125,16869,0
a10000.txt,Random,10000,QuickSort,0.001048,157488,0
a10000.txt,Random,10000,MergeSort,0.001328,120517,534464
a10000.txt,Random,10000,HeapSort,0.001605,235408,0
a100000.txt,Random,100000,QuickSort,0.012402,2590245,0
a100000.txt,Random,100000,MergeSort,0.015362,1536637,6675712
a100000.txt,Random,100000,HeapSort,0.020746,3019775,0
a1000000.txt,Random,1000000,QuickSort,0.306946,117813690,0
a1000000.txt,Random,1000000,MergeSort,0.179027,18673359,79805696
a1000000.txt,Random,1000000,HeapSort,0.269314,36790297,0
a1250000.txt,Random,1250000,QuickSort,0.432726,176638182,0
a1250000.txt,Random,1250000,MergeSort,0.215606,23761046,101611392
a1250000.txt,Random,1250000,HeapSort,0.338391,46825882,0
a15000.txt,Random,15000,QuickSort,0.001598,238475,0
a15000.txt,Random,15000,MergeSort,0.002039,189287,834464
a15000.txt,Random,15000,HeapSort,0.002546,370381,0
a1500000.txt,Random,1500000,QuickSort,0.593886,251399528,0
a1500000.txt,Random,1500000,MergeSort,0.253726,28910017,123611392
a1500000.txt,Random,1500000,HeapSort,0.438989,57011806,0
a200.txt,Random,200,QuickSort,0.000014,1438,0
a200.txt,Random,200,MergeSort,0.000021,1283,6176
a200.txt,Random,200,HeapSort,0.000021,2436,0
a2000.txt,Random,2000,QuickSort,0.000181,27018,0
a2000.txt,Random,2000,MergeSort,0.000250,19389,87808
a2000.txt,Random,2000,HeapSort,0.000265,37667,0
a200000.txt,Random,200000,QuickSort,0.030814,7814224,0
a200000.txt,Random,200000,MergeSort,0.031134,3272647,14151424
a200000.txt,Random,200000,HeapSort,0.044079,6437906,0
a2000000.txt,Random,2000000,QuickSort,1.020768,433012087,0
a2000000.txt,Random,2000000,MergeSort,0.342645,39347196,167611392
a2000000.txt,Random,2000000,HeapSort,0.565102,77580974,0
a30000.txt,Random,30000,QuickSort,0.003423,557316,0
a30000.txt,Random,30000,MergeSort,0.004684,408671,1788928
a30000.txt,Random,30000,HeapSort,0.005487,800988,0
a500.txt,Random,500,QuickSort,0.000039,4725,0
a500.txt,Random,500,MergeSort,0.000054,3842,17952
a500.txt,Random,500,HeapSort,0.000058,7405,0
a5000.txt,Random,5000,QuickSort,0.000510,70683,0
a5000.txt,Random,5000,MergeSort,0.000619,55252,247232
a5000.txt,Random,5000,HeapSort,0.000762,107727,0
a50000.txt,Random,50000,QuickSort,0.006056,1060546,0
a50000.txt,Random,50000,MergeSort,0.007387,717936,3137856
a50000.txt,Random,50000,HeapSort,0.009801,1409973,0
a500000.txt,Random,500000,QuickSort,0.100076,33495791,0
a500000.txt,Random,500000,MergeSort,0.081532,8836942,37902848
a500000.txt,Random,500000,HeapSort,0.138530,17395734,0
a7500.txt,Random,7500,QuickSort,0.000755,113004,0
a7500.txt,Random,7500,MergeSort,0.000989,87105,387232
a7500.txt,Random,7500,HeapSort,0.001155,170107,0
a75000.txt,Random,75000,QuickSort,0.009042,1758426,0
a75000.txt,Random,75000,MergeSort,0.011320,1121199,4875712
a75000.txt,Random,75000,HeapSort,0.014954,2200094,0
a750000.txt,Random,750000,QuickSort,0.183969,68649182,0
a750000.txt,Random,750000,MergeSort,0.124030,13705118,58805696
a750000.txt,Random,750000,HeapSort,0.187398,27007214,0
d100.txt,Descending,100,QuickSort,0.000005,514,0
d100.txt,Descending,100,MergeSort,0.000008,316,2688
d100.txt,Descending,100,HeapSort,0.000008,944,0
d1000.txt,Descending,1000,QuickSort,0.000051,8465,0
d1000.txt,Descending,1000,MergeSort,0.000070,4988,39904
d1000.txt,Descending,1000,HeapSort,0.000099,15975,0
d10000.txt,Descending,10000,QuickSort,0.000590,120846,0
d10000.txt,Descending,10000,MergeSort,0.000966,69247,534464
d10000.txt,Descending,10000,HeapSort,0.001261,226646,0
d100000.txt,Descending,100000,QuickSort,0.007095,2204441,0
d100000.txt,Descending,100000,MergeSort,0.009496,930854,6675712
d100000.txt,Descending,100000,HeapSort,0.015232,2921127,0
d1000000.txt,Descending,1000000,QuickSort,0.259190,112924203,0
d1000000.txt,Descending,1000000,MergeSort,0.119568,11039862,79805696
d1000000.txt,Descending,1000000,HeapSort,0.183081,35872727,0
d1250000.txt,Descending,1250000,QuickSort,0.367522,172772456,0
d1250000.txt,Descending,1250000,MergeSort,0.142715,14167792,101611392
d1250000.txt,Descending,1250000,HeapSort,0.239279,45650895,0
d15000.txt,Descending,15000,QuickSort,0.000907,192712,0
d15000.txt,Descending,15000,MergeSort,0.001365,110050,834464
d15000.txt,Descending,15000,HeapSort,0.002009,357692,0
d1500000.txt,Descending,1500000,QuickSort,0.541162,245515500,0
d1500000.txt,Descending,1500000,MergeSort,0.168347,17252481,123611392
d1500000.txt,Descending,1500000,HeapSort,0.279594,55504837,0
d200.txt,Descending,200,QuickSort,0.000010,1225,0
d200.txt,Descending,200,MergeSort,0.000014,734,6176
d200.txt,Descending,200,HeapSort,0.000018,2275,0
d2000.txt,Descending,2000,QuickSort,0.000107,19004,0
d2000.txt,Descending,2000,MergeSort,0.000145,11041,87808
d2000.txt,Descending,2000,HeapSort,0.000213,36000,0
d200000.txt,Descending,200000,QuickSort,0.018046,6466433,0
d200000.txt,Descending,200000,MergeSort,0.019855,1982709,14151424
d200000.txt,Descending,200000,HeapSort,0.032040,6240125,0
d2000000.txt,Descending,2000000,QuickSort,0.898146,428118433,0
d2000000.txt,Descending,2000000,MergeSort,0.220793,23100824,167611392
d2000000.txt,Descending,2000000,HeapSort,0.376372,75672428,0
d30000.txt,Descending,30000,QuickSort,0.001885,442369,0
d30000.txt,Descending,30000,MergeSort,0.002761,242118,1788928
d30000.txt,Descending,30000,HeapSort,0.004239,775259,0
d500.txt,Descending,500,QuickSort,0.000024,3705,0
d500.txt,Descending,500,MergeSort,0.000035,2226,17952
d500.txt,Descending,500,HeapSort,0.000046,7010,0
d5000.txt,Descending,5000,QuickSort,0.000282,54185,0
d5000.txt,Descending,5000,MergeSort,0.000393,31080,247232
d5000.txt,Descending,5000,HeapSort,0.000591,103288,0
d50000.txt,Descending,50000,QuickSort,0.003205,841416,0
d50000.txt,Descending,50000,MergeSort,0.004611,433526,3137856
d50000.txt,Descending,50000,HeapSort,0.007343,1364549,0
d500000.txt,Descending,500000,QuickSort,0.072524,31291022,0
d500000.txt,Descending,500000,MergeSort,0.051572,5249915,37902848
d500000.txt,Descending,500000,HeapSort,0.085640,16921892,0
d7500.txt,Descending,7500,QuickSort,0.000442,86886,0
d7500.txt,Descending,7500,MergeSort,0.000641,49777,387232
d7500.txt,Descending,7500,HeapSort,0.000912,163740,0
d75000.txt,Descending,75000,QuickSort,0.005081,1461358,0
d75000.txt,Descending,75000,MergeSort,0.006972,676791,4875712
d75000.txt,Descending,75000,HeapSort,0.011481,2135384,0
d750000.txt,Descending,750000,QuickSort,0.143791,65780279,0
d750000.txt,Descending,750000,MergeSort,0.079452,8238788,58805696
d750000.txt,Descending,750000,HeapSort,0.136177,26272284,0
o100.txt,Sorted,100,QuickSort,0.000004,480,0
o100.txt,Sorted,100,MergeSort,0.000008,356,2688
o100.txt,Sorted,100,HeapSort,0.000010,1085,0
o1000.txt,Sorted,1000,QuickSort,0.000039,8063,0
o1000.txt,Sorted,1000,MergeSort,0.000069,5044,39904
o1000.txt,Sorted,1000,HeapSort,0.000107,17554,0
o10000.txt,Sorted,10000,QuickSort,0.000525,116040,0
o10000.txt,Sorted,10000,MergeSort,0.000796,69008,534464
o10000.txt,Sorted,10000,HeapSort,0.001339,244399,0
o100000.txt,Sorted,100000,QuickSort,0.006775,2189704,0
o100000.txt,Sorted,100000,MergeSort,0.009244,853904,6675712
o100000.txt,Sorted,100000,HeapSort,0.015688,3015439,0
o1000000.txt,Sorted,1000000,QuickSort,0.242811,114834800,0
o1000000.txt,Sorted,1000000,MergeSort,0.113580,10066432,79805696
o1000000.txt,Sorted,1000000,HeapSort,0.171186,33763408,0
o1250000.txt,Sorted,1250000,QuickSort,0.368576,175233485,0
o1250000.txt,Sorted,1250000,MergeSort,0.145440,12973520,101611392
o1250000.txt,Sorted,1250000,HeapSort,0.228438,42943820,0
o15000.txt,Sorted,15000,QuickSort,0.000807,186201,0
o15000.txt,Sorted,15000,MergeSort,0.001231,106364,834464
o15000.txt,Sorted,15000,HeapSort,0.002116,383108,0
o1500000.txt,Sorted,1500000,QuickSort,0.520731,248437357,0
o1500000.txt,Sorted,1500000,MergeSort,0.163093,15791632,123611392
o1500000.txt,Sorted,1500000,HeapSort,0.265435,52207332,0
o200.txt,Sorted,200,QuickSort,0.000007,1153,0
o200.txt,Sorted,200,MergeSort,0.000015,812,6176
o200.txt,Sorted,200,HeapSort,0.000021,2587,0
o2000.txt,Sorted,2000,QuickSort,0.000087,18145,0
o2000.txt,Sorted,2000,MergeSort,0.000140,11088,87808
o2000.txt,Sorted,2000,HeapSort,0.000228,39227,0
o200000.txt,Sorted,200000,QuickSort,0.018169,6455986,0
o200000.txt,Sorted,200000,MergeSort,0.019274,1807808,14151424
o200000.txt,Sorted,200000,HeapSort,0.031768,6181938,0
o2000000.txt,Sorted,2000000,QuickSort,0.963205,433095203,0
o2000000.txt,Sorted,2000000,MergeSort,0.218982,21132864,167611392
o2000000.txt,Sorted,2000000,HeapSort,0.351768,70666986,0
o30000.txt,Sorted,30000,QuickSort,0.001701,427639,0
o30000.txt,Sorted,30000,MergeSort,0.002623,227728,1788928
o30000.txt,Sorted,30000,HeapSort,0.004493,826456,0
o500.txt,Sorted,500,QuickSort,0.000018,3508,0
o500.txt,Sorted,500,MergeSort,0.000034,2272,17952
o500.txt,Sorted,500,HeapSort,0.000050,7742,0
o5000.txt,Sorted,5000,QuickSort,0.000258,52417,0
o5000.txt,Sorted,5000,MergeSort,0.000372,32004,247232
o5000.txt,Sorted,5000,HeapSort,0.000626,112098,0
o50000.txt,Sorted,50000,QuickSort,0.002984,826216,0
o50000.txt,Sorted,50000,MergeSort,0.004491,401952,3137856
o50000.txt,Sorted,50000,HeapSort,0.007720,1450230,0
o500000.txt,Sorted,500000,QuickSort,0.072307,31710151,0
o500000.txt,Sorted,500000,MergeSort,0.050668,4783216,37902848
o500000.txt,Sorted,500000,HeapSort,0.081888,16164497,0
o7500.txt,Sorted,7500,QuickSort,0.000398,83385,0
o7500.txt,Sorted,7500,MergeSort,0.000593,49432,387232
o7500.txt,Sorted,7500,HeapSort,0.000974,176405,0
o75000.txt,Sorted,75000,QuickSort,0.004757,1442164,0
o75000.txt,Sorted,75000,MergeSort,0.006767,624316,4875712
o75000.txt,Sorted,75000,HeapSort,0.011791,2231778,0
o750000.txt,Sorted,750000,QuickSort,0.144903,66845624,0
o750000.txt,Sorted,750000,MergeSort,0.078060,7520816,58805696
o750000.txt,Sorted,750000,HeapSort,0.125877,24948124,0
po100.txt,Partially Ordered,100,QuickSort,0.000008,586,0
po100.txt,Partially Ordered,100,MergeSort,0.000011,536,2688
po100.txt,Partially Ordered,100,HeapSort,0.000012,1067,0
po1000.txt,Partially Ordered,1000,QuickSort,0.000054,9043,0
po1000.txt,Partially Ordered,1000,MergeSort,0.000078,7103,39904
po1000.txt,Partially Ordered,1000,HeapSort,0.000119,17530,0
po10000.txt,Partially Ordered,10000,QuickSort,0.000615,123547,0
po10000.txt,Partially Ordered,10000,MergeSort,0.000802,86572,534464
po10000.txt,Partially Ordered,10000,HeapSort,0.001356,244394,0
po100000.txt,Partially Ordered,100000,QuickSort,0.006841,2174038,0
po100000.txt,Partially Ordered,100000,MergeSort,0.009484,919208,6675712
po100000.txt,Partially Ordered,100000,HeapSort,0.016406,3015305,0
po1000000.txt,Partially Ordered,1000000,QuickSort,0.241506,114525214,0
po1000000.txt,Partially Ordered,1000000,MergeSort,0.105586,10141235,79805696
po1000000.txt,Partially Ordered,1000000,HeapSort,0.201705,33774951,0
po1250000.txt,Partially Ordered,1250000,QuickSort,0.367930,175070128,0
po1250000.txt,Partially Ordered,1250000,MergeSort,0.134785,13046392,101611392
po1250000.txt,Partially Ordered,1250000,HeapSort,0.215982,42929778,0
po15000.txt,Partially Ordered,15000,QuickSort,0.000904,193706,0
po15000.txt,Partially Ordered,15000,MergeSort,0.001329,139043,834464
po15000.txt,Partially Ordered,15000,HeapSort,0.002102,383081,0
po1500000.txt,Partially Ordered,1500000,QuickSort,0.518749,248466431,0
po1500000.txt,Partially Ordered,1500000,MergeSort,0.162748,15848175,123611392
po1500000.txt,Partially Ordered,1500000,HeapSort,0.295488,52191313,0
po200.txt,Partially Ordered,200,QuickSort,0.000013,1403,0
po200.txt,Partially Ordered,200,MergeSort,0.000019,1205,6176
po200.txt,Partially Ordered,200,HeapSort,0.000022,2547,0
po2000.txt,Partially Ordered,2000,QuickSort,0.000111,20164,0
po2000.txt,Partially Ordered,2000,MergeSort,0.000163,15482,87808
po2000.txt,Partially Ordered,2000,HeapSort,0.000233,39189,0
po200000.txt,Partially Ordered,200000,QuickSort,0.017738,6453285,0
po200000.txt,Partially Ordered,200000,MergeSort,0.019381,1877179,14151424
po200000.txt,Partially Ordered,200000,HeapSort,0.031691,6183881,0
po2000000.txt,Partially Ordered,2000000,QuickSort,0.917895,432568888,0
po2000000.txt,Partially Ordered,2000000,MergeSort,0.219167,21207389,167611392
po2000000.txt,Partially Ordered,2000000,HeapSort,0.374526,70675860,0
po30000.txt,Partially Ordered,30000,QuickSort,0.001809,429850,0
po30000.txt,Partially Ordered,30000,MergeSort,0.002649,280576,1788928
po30000.txt,Partially Ordered,30000,HeapSort,0.004547,826326,0
po500.txt,Partially Ordered,500,QuickSort,0.000029,4059,0
po500.txt,Partially Ordered,500,MergeSort,0.000039,3319,17952
po500.txt,Partially Ordered,500,HeapSort,0.000052,7702,0
po5000.txt,Partially Ordered,5000,QuickSort,0.000286,55796,0
po5000.txt,Partially Ordered,5000,MergeSort,0.000389,41373,247232
po5000.txt,Partially Ordered,5000,HeapSort,0.000630,112039,0
po50000.txt,Partially Ordered,50000,QuickSort,0.003047,820840,0
po50000.txt,Partially Ordered,50000,MergeSort,0.004489,464095,3137856
po50000.txt,Partially Ordered,50000,HeapSort,0.007678,1450346,0
po500000.txt,Partially Ordered,500000,QuickSort,0.072517,31671783,0
po500000.txt,Partially Ordered,500000,MergeSort,0.050914,4861660,37902848
po500000.txt,Partially Ordered,500000,HeapSort,0.112594,16170998,0
po7500.txt,Partially Ordered,7500,QuickSort,0.000431,88616,0
po7500.txt,Partially Ordered,7500,MergeSort,0.000679,65164,387232
po7500.txt,Partially Ordered,7500,HeapSort,0.000985,176395,0
po75000.txt,Partially Ordered,75000,QuickSort,0.004937,1430343,0
po75000.txt,Partially Ordered,75000,MergeSort,0.006815,683151,4875712
po75000.txt,Partially Ordered,75000,HeapSort,0.011872,2232546,0
po750000.txt,Partially Ordered,750000,QuickSort,0.167334,66680233,0
po750000.txt,Partially Ordered,750000,MergeSort,0.086894,7592726,58805696
po750000.txt,Partially Ordered,750000,HeapSort,0.126426,24965052,0
